fips,2019_units,2020_Units ,Yr_Grwth,Percent_Growth
35025,510,514,4,0.007843137
35027,1937,2915,978,0.504904491
35028,8260,10287,2027,0.245399516
35031,766,751,-15,-0.019582245
35035,1617,1671,54,0.033395176
35041,993,1169,176,0.177240685
35043,7278,7551,273,0.037510305
35045,3020,4306,1286,0.425827815
35049,61275,54122,-7153,-0.116736026
35055,9883,13171,3288,0.332692502
35061,1062,1438,376,0.354048964
36001,19940,19482,-458,-0.022968907
36005,6111,5764,-347,-0.056782851
36007,9265,10510,1245,0.134376686
36011,2374,3391,1017,0.428390901
36013,2092,2374,282,0.134799235
36015,2026,2569,543,0.268015795
36017,306,291,-15,-0.049019608
36019,2306,2315,9,0.003902862
36021,4184,4316,132,0.031548757
36023,423,508,85,0.200945626
36025,255,298,43,0.168627451
36027,15878,17761,1883,0.118591762
36029,34743,42214,7471,0.215036122
36031,856,864,8,0.009345794
36035,416,380,-36,-0.086538462
36037,464,497,33,0.07112069
36043,735,746,11,0.014965986
36045,2289,2116,-173,-0.075578855
36047,38706,52134,13428,0.346922958
36051,1771,2188,417,0.235460192
36053,887,1183,296,0.333709132
36055,49227,61687,12460,0.253113129
36057,1902,1616,-286,-0.150368034
36059,58273,68156,9883,0.16959827
36061,72701,90871,18170,0.249927786
36063,2063,2658,595,0.28841493
36065,4092,5534,1442,0.352394917
36067,24773,31889,7116,0.287248214
36069,6556,8201,1645,0.250915192
36071,16832,18553,1721,0.102245722
36075,578,658,80,0.138408304
36077,3127,3074,-53,-0.016949153
36079,4959,6508,1549,0.312361363
36081,19689,21316,1627,0.082634974
36083,5907,5968,61,0.010326731
36085,5381,5777,396,0.073592269
36087,12715,14887,2172,0.170821864
36089,11,163,152,13.81818182
36091,15329,14701,-628,-0.0409681
36093,5804,5574,-230,-0.039627843
36095,411,383,-28,-0.068126521
36101,3620,4525,905,0.25
36103,90551,119264,28713,0.317092025
36105,1057,1492,435,0.4115421
36107,356,316,-40,-0.112359551
36109,14679,18873,4194,0.285714286
36111,10591,11894,1303,0.123028987
36113,4307,5300,993,0.230554911
36115,75,192,117,1.56
36117,1046,1149,103,0.098470363
36119,119338,145563,26225,0.219753976
37001,6686,9432,2746,0.410708944
37009,309,411,102,0.330097087
37011,179,249,70,0.391061453
37019,10418,11531,1113,0.106834325
37021,28592,35975,7383,0.258219082
37023,319,402,83,0.260188088
37025,10563,14871,4308,0.407838682
37027,41,78,37,0.902439024
37031,6697,8800,2103,0.314021204
37033,180,111,-69,-0.383333333
37035,3898,5469,1571,0.403027193
37039,377,507,130,0.344827586
37041,284,277,-7,-0.024647887
37043,244,300,56,0.229508197
37045,655,824,169,0.258015267
37049,4544,8604,4060,0.893485915
37051,7344,10404,3060,0.416666667
37053,3579,3605,26,0.007264599
37055,9144,11216,2072,0.226596675
37057,936,1405,469,0.501068376
37059,677,1088,411,0.607090103
37063,37463,47781,10318,0.275418413
37067,27508,34471,6963,0.253126363
37071,5555,7617,2062,0.37119712
